"#","Reference","Qty","Value","Footprint","DNP"
"1","A6522","1","I/O Timer 1","Package_DIP:DIP-40_W15.24mm_Socket",""
"2","B6522","1","I/O Timer 2","Package_DIP:DIP-40_W15.24mm_Socket",""
"3","C1","1",".1uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"4","C2, C4, C5, C6, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17","14","1uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"5","C3","1","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","C11","1","20uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"7","D1, D5","2","1N4007","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"8","D2, D3","2","LED","LED_THT:LED_D3.0mm",""
"9","D4","1","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"10","J1","1","Barrel_Jack_Power","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"11","J2","1","P/S 2 Breakout","Custom_Footprints:Connector_Mini-DIN_Female_6Pin_2rows",""
"12","J3","1","R232 Plug","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm",""
"13","R1, R2","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R3, R4","2","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R5","1","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R6, R7, R8","3","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R9, R10, R11","3","680","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R12, R13","2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R14, R15","2","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","ROM1","1","27C128 ROM","Package_DIP:DIP-28_W15.24mm_Socket",""
"21","Rw9","1","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"23","U1, U7, U8","3","~","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"24","U2, U4","2","LM1117DT-5.0","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"25","U3","1","6502 CPU","Package_DIP:DIP-40_W15.24mm_Socket",""
"26","U5","1","74LS00","Package_DIP:DIP-14_W7.62mm",""
"27","U6","1","74LS32","Package_DIP:DIP-14_W7.62mm",""
"28","U12","1","74LS14","Package_DIP:DIP-14_W7.62mm",""
"29","U13, U14","2","74LS595","Package_DIP:DIP-16_W7.62mm",""
"30","U15","1","6551","Package_DIP:DIP-28_W15.24mm_Socket",""
"31","U16","1","MAX232","Package_DIP:DIP-16_W7.62mm",""
"32","URAM1","1","62256 RAM","Package_DIP:DIP-28_W15.24mm_Socket",""
"33","VGA1","1","VGA Output","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm",""
"34","X2","1","1 MHz Osc","Oscillator:Oscillator_DIP-14",""
"35","Y1","1","1.8432 Mhz","Crystal:Crystal_HC18-U_Vertical",""
"36","~1","1","~","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
